# Author: Carles Marin (Claude, Anthropic, as AI research assistant).
# The complete 45-multiplet completion of the (3,60) block: 17 species.
# Cancels the 8 anomaly coefficients + localized tadpole with integral local cubics.
# Independently re-verified in exact rational arithmetic by r60_verify_joint.sage.
# columns: index,dynkin_a,dynkin_b,dynkin_c,color,p0,p2,chi6,multiplicity
1,0,0,1,1,-1,-1,1,8
2,0,0,3,1,1,-1,-1,3
3,0,0,3,1,-1,1,-1,3
4,0,0,4,1,-1,1,1,2
5,0,1,0,1,1,1,-1,2
6,0,1,1,1,1,1,-1,2
7,0,1,1,1,1,1,1,2
8,1,0,1,1,1,1,1,2
9,0,0,1,3,-1,1,1,1
10,0,0,1,3,-1,-1,-1,4
11,0,0,3,3,-1,-1,1,2
12,0,2,0,3,-1,1,-1,2
13,0,0,1,3bar,1,1,1,5
14,0,0,1,3bar,-1,1,1,3
15,0,0,3,3bar,1,-1,-1,1
16,0,0,3,3bar,-1,1,-1,1
17,0,1,1,3bar,-1,-1,-1,2
# total multiplets: 45  (singlets 24, triplets 9, antitriplets 12)
